dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22007309,2022-01-16,09:50:00,108 E Market St,DR RIDDLE,108 E Market St 6,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22007307,2022-01-16,09:35:00,1920 LOWER MUSCATINE RD,BP,1920 LOWER MUSCATINE RD,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,INFORMATION,Y,NA
22007303,2022-01-16,09:33:00,717 Giblin Dr,NA,717 Giblin Dr,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22007302,2022-01-16,09:33:00,1 Oaknoll CT,NA,1 Oaknoll CT,911 HANGUP,911 HANGUP,COMPLETED,N,NA
22007289,2022-01-16,08:28:00,N Dodge St/80,NA,N Dodge St/80,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,N,NA
22007281,2022-01-16,08:08:00,2110 Broadway St,NA,2110 Broadway St B,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,NA
22007274,2022-01-16,07:10:00,201 S Clinton St,UI QUICKCARE - OLD CAPITOL TOWN CENTER,201 S Clinton St 195,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
22007270,2022-01-16,06:34:00,1204 Hollywood Blvd,NA,1204 Hollywood Blvd,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007268,2022-01-16,06:14:00,S Scott Blvd/Muscatine Ave,NA,S Scott Blvd/Muscatine Ave,ANIMAL/CARCASS,ANIMAL/CARCASS,INFORMATION,Y,NA
22007267,2022-01-16,06:14:00,31 Colwyn Ct,NA,31 Colwyn Ct,FIRE RESPONSE LAW,FIRE RESPONSE LAW,HANDLED BY OTHER AGENCY,Y,NA
22007265,2022-01-16,06:06:00,1011 Hudson Ave,NA,1011 Hudson Ave 4,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INCIDENT REPORT TAKEN,Y,NA
22007261,2022-01-16,05:47:00,2213 Arizona Ave,NA,2213 Arizona Ave,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,UNABLE TO LOCATE,N,NA
22007255,2022-01-16,04:53:00,Hwy 6 SE/420th St SE,NA,Hwy 6 SE/420th St SE,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
22007252,2022-01-16,04:41:00,1150 Mormon Trek Blvd,NA,1150 Mormon Trek Blvd,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
22007246,2022-01-16,03:36:00,601 S Gilbert St,NA,601 S Gilbert St,Z Unconscious/Fainting,Z Unconscious/Fainting,PT TRANSPORTED,Y,NA
22007243,2022-01-16,03:22:00,E Iowa Ave/N Johnson St,NA,E Iowa Ave/N Johnson St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,Y,NA
22007242,2022-01-16,03:11:00,S Dubuque St/Harrison St,NA,S Dubuque St/Harrison St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007224,2022-01-16,02:06:00,108 E Market St,DR RIDDLE,108 E Market St 6,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
22007218,2022-01-16,01:53:00,E Court St/Muscatine Ave,NA,E Court St/Muscatine Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007216,2022-01-16,01:52:00,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
22007215,2022-01-16,01:47:00,10 S Clinton St,SUMMIT RESTAURANT & BAR,10 S Clinton St,Z Unconscious/Fainting,Z Unconscious/Fainting,PT NOT TRANSPORTED,Y,NA
22007211,2022-01-16,01:35:00,S 1st Ave/Bradford Dr,NA,S 1st Ave/Bradford Dr,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22007210,2022-01-16,01:34:00,10 S Clinton St,SUMMIT RESTAURANT & BAR,10 S Clinton St,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
22007209,2022-01-16,01:28:00,415 S Van Buren St,NA,415 S Van Buren St 8,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
22007206,2022-01-16,01:14:00,N Dubuque St/W Park Rd,NA,N Dubuque St/W Park Rd,TRAFFIC STOP,TRAFFIC STOP,INCIDENT REPORT TAKEN,Y,NA
22007204,2022-01-16,01:02:00,415 S Van Buren St,NA,415 S Van Buren St 8,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
22007203,2022-01-16,00:57:00,W Burlington St/S Capitol St,NA,W Burlington St/S Capitol St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,NA
22007196,2022-01-16,00:42:00,E Washington St/S Clinton St,NA,E Washington St/S Clinton St,TR/ROAD HAZARD,TR/ROAD HAZARD,REF TO CITY DEPARTMENT,N,NA
22007193,2022-01-16,00:36:00,26 S CLINTON ST,CORTADO COFFEE & CAFE,26 S CLINTON ST,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
22007192,2022-01-16,00:35:00,2401 HWY 6 E,THE QUARTERS AT IOWA CITY,2401 HWY 6 E 46-107,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,ARREST MADE,Y,NA
22007191,2022-01-16,00:30:00,211 E Iowa Ave,ELRAYS LIVE AND DIVE,211 E Iowa Ave,Z Overdose/Poisoning,Z Overdose/Poisoning,PT TRANSPORTED,Y,NA
22007083,2022-01-15,18:50:00,637 S Dodge St,NA,637 S Dodge St 2,PHONE REQUEST,PHONE REQUEST,PREVIOUS INCIDENT,Y,NA
22007082,2022-01-15,18:43:00,Camp Cardinal Blvd/Deer Creek Dr,NA,Camp Cardinal Blvd/Deer Creek Dr,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,Y,NA
22007080,2022-01-15,18:38:00,317 Court Street Pl,NA,317 Court Street Pl,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,CANCEL BY COMPL,Y,NA
22007078,2022-01-15,18:36:00,4515 Melrose Ave,CHATHAM OAKS INC,4515 Melrose Ave,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,COMPLETED,Y,NA
22007067,2022-01-15,18:17:00,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,TRESPASS,TRESPASS,COMPLETED,Y,NA
22007066,2022-01-15,18:17:00,500 S Gilbert St,NA,500 S Gilbert St 6,THEFT,THEFT,COMPLETED,Y,NA
22007064,2022-01-15,18:10:00,W Benton St/Sunset St,NA,W Benton St/Sunset St,JUV/GENERAL,JUV/GENERAL,COMPLETED,Y,NA
22007063,2022-01-15,18:05:00,S Gilbert St/1st St,NA,S Gilbert St/1st St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007062,2022-01-15,17:59:00,331 Lucon Dr,NA,331 Lucon Dr,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,COMPLETED,Y,NA
22007061,2022-01-15,17:58:00,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,PREVIOUS INCIDENT,Y,NA
22007055,2022-01-15,17:39:00,220 S Dubuque St,DUBUQUE ST RAMP,220 S Dubuque St,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22007054,2022-01-15,17:35:00,1722 Gleason Ave,NA,1722 Gleason Ave,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007050,2022-01-15,17:21:00,1726 Dover St,NA,1726 Dover St,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,N,NA
22007043,2022-01-15,16:53:00,2410 Lakeside Dr,NA,2410 Lakeside Dr 8,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,UNFOUNDED,Y,NA
22007041,2022-01-15,16:49:00,4362 Rohret Rd,NA,4362 Rohret Rd,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22007039,2022-01-15,16:49:00,229 Melrose Ct,NA,229 Melrose Ct,ANIMAL/LOST,ANIMAL/LOST,INFORMATION,Y,NA
22007038,2022-01-15,16:47:00,Grand Ave/S Riverside Dr,NA,Grand Ave/S Riverside Dr,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,UNABLE TO LOCATE,Y,NA
22007036,2022-01-15,16:44:00,1100 ARTHUR ST,TOWN & CAMPUS APARTMENTS,1100 ARTHUR ST H2,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,NA
22007035,2022-01-15,16:42:00,615 N Dubuque St,NA,615 N Dubuque St 11,JUV/GENERAL,JUV/GENERAL,COMPLETED,Y,NA
22007034,2022-01-15,16:41:00,Hwy 6 E/Fairmeadows Blvd,NA,Hwy 6 E/Fairmeadows Blvd,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007033,2022-01-15,16:40:00,400-499 Crestview Ave,NA,400-499 Crestview Ave,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,UNABLE TO LOCATE,Y,NA
22007032,2022-01-15,16:39:00,812 3rd Ave,NA,812 3rd Ave,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,Y,NA
22007031,2022-01-15,16:34:00,S Gilbert St/E Burlington St,NA,S Gilbert St/E Burlington St,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,Y,NA
22007028,2022-01-15,16:16:00,483 E Iowa Ave,NA,483 E Iowa Ave,DIST/NOISE GENERAL,DIST/NOISE GENERAL,COMPLETED,Y,NA
22007016,2022-01-15,15:43:00,2219 Palmer Cir,NA,2219 Palmer Cir,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,N,NA
22007009,2022-01-15,15:22:00,E Burlington St/S Gilbert St,NA,E Burlington St/S Gilbert St,TR/PARKING,TR/PARKING,WARNING ISSUED VERBAL,N,NA
22007003,2022-01-15,15:04:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
22007002,2022-01-15,14:58:00,2530 Bartelt Rd,NA,2530 Bartelt Rd,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22006996,2022-01-15,14:41:00,445 Hwy 6 E,GOODWILL,445 Hwy 6 E,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,Y,NA
22006994,2022-01-15,14:41:00,Sandusky Dr/Davis St,NA,Sandusky Dr/Davis St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22006990,2022-01-15,14:13:00,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22006988,2022-01-15,14:03:00,24 Sedona St,NA,24 Sedona St,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22006987,2022-01-15,14:01:00,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22006984,2022-01-15,13:46:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,NA
22006979,2022-01-15,13:22:00,80/247West,NA,80/247West,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22006978,2022-01-15,13:24:00,2700 Irving Ave,NA,2700 Irving Ave,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
22006973,2022-01-15,13:03:00,812 S 1st AVE,HY-VEE,812 S 1st AVE,SOLICITOR,SOLICITOR,UNABLE TO LOCATE,Y,NA
22006971,2022-01-15,13:01:00,Kristian St/Tofting Ave,NA,Kristian St/Tofting Ave,TR/PARKING,TR/PARKING,INFORMATION,Y,NA
22006967,2022-01-15,12:57:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ADMIN/REPORT WRITING,ADMIN/REPORT WRITING,COMPLETED,N,NA
22006966,2022-01-15,12:48:00,225 E PRENTISS ST,NA,225 E PRENTISS ST,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,CIVIL,Y,NA
22006965,2022-01-15,12:28:00,E Jefferson St/N Clinton St,NA,E Jefferson St/N Clinton St,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,N,NA
22006957,2022-01-15,11:38:00,500 S DUBUQUE ST,SECURITY ABSTRACT COMPANY,500 S DUBUQUE ST,TR/PARKING,TR/PARKING,WARNING ISSUED VERBAL,Y,NA
22006955,2022-01-15,11:31:00,119 Myrtle Ave,NA,119 Myrtle Ave 9,Z Back Pain,Z Back Pain,HANDLED BY OTHER AGENCY,N,NA
22006949,2022-01-15,11:30:00,400 S Dodge St,NA,400 S Dodge St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,PREVIOUS INCIDENT,Y,NA
22006946,2022-01-15,11:19:00,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,INTOXICATED PEDESTRIAN,INTOXICATED PEDESTRIAN,PT TRANSPORTED,Y,NA
22006937,2022-01-15,10:59:00,400 S Dodge St,NA,400 S Dodge St,OUT WITH SUBJ,OUT WITH SUBJ,ARREST MADE,Y,NA
22006936,2022-01-15,10:54:00,64 Oberlin St,NA,64 Oberlin St 7,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,COMPLETED,Y,NA
22006934,2022-01-15,10:48:00,2643 Westwinds Dr,NA,2643 Westwinds Dr 3,Z Cardiac or Respiratory Arrest/Death,Z Cardiac or Respiratory Arrest/Death,INCIDENT REPORT TAKEN,Y,NA
22006926,2022-01-15,10:35:00,3300 E Washington St,NA,3300 E Washington St,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22006924,2022-01-15,10:13:00,80/246West,NA,80/246West,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22006919,2022-01-15,10:03:00,820 Cross Park Ave,CROSS PARK PLACE,820 Cross Park Ave,HARASSMENT/OBSCENE PHONE,HARASSMENT/OBSCENE PHONE,NO REPORT,Y,NA
22006914,2022-01-15,09:55:00,1122 E Washington St,"BROWN,RUSSELL/THORNBURG,WENDY",1122 E Washington St,ALARM/BURGLARY,ALARM/BURGLARY,EMPL ERROR ALARM,Y,NA
22006905,2022-01-15,09:20:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,NA
22006899,2022-01-15,08:58:00,2765 Commerce Dr,FAREWAY STORE,2765 Commerce Dr,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
22006897,2022-01-15,08:51:00,820 Cross Park AVE,CROSS PARK PLACE,820 Cross Park AVE 216,HARASSMENT/OBSCENE PHONE,HARASSMENT/OBSCENE PHONE,NO REPORT,Y,NA
22006895,2022-01-15,08:51:00,E Bloomington St/N Linn St,NA,E Bloomington St/N Linn St,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,NA
22006890,2022-01-15,08:42:00,E Benton St/Dubuque St,NA,E Benton St/Dubuque St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,UNABLE TO LOCATE,Y,NA
22006875,2022-01-15,07:38:00,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,TRESPASS,TRESPASS,WARNING ISSUED VERBAL,Y,NA
22006857,2022-01-15,06:02:00,E Burlington St/S Lucas St,NA,E Burlington St/S Lucas St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22006853,2022-01-15,05:23:00,Ronalds St/N Governor St,NA,Ronalds St/N Governor St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,N,NA
22006851,2022-01-15,05:09:00,4440 Preston Ln,NA,4440 Preston Ln,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22006843,2022-01-15,03:37:00,416 S Dodge St,NA,416 S Dodge St,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22006842,2022-01-15,03:07:00,932 E College ST,COLLEGE HILL HOUSE,932 E College ST 3,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22006841,2022-01-15,02:51:00,1131 S Gilbert ST,NA,1131 S Gilbert ST 216,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,PT TRANSPORTED,Y,NA
22006838,2022-01-15,02:35:00,1413 Plum St,NA,1413 Plum St,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22006835,2022-01-15,02:31:00,518 S Lucas St,NA,518 S Lucas St,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22006833,2022-01-15,02:28:00,3534 Shamrock Pl,NA,3534 Shamrock Pl,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,NA
22006829,2022-01-15,02:12:00,E Court St/S Johnson St,NA,E Court St/S Johnson St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,NA
22006826,2022-01-15,02:08:00,457 S Gilbert St,FALBO BROTHERS PIZZA,457 S Gilbert St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,WARRANT ARREST OTHER AGENCY,Y,NA
22006824,2022-01-15,01:48:00,340 Southgate Ave,WET SHELTER,340 Southgate Ave,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22006823,2022-01-15,01:46:00,323 E BURLINGTON ST,KUM & GO,323 E BURLINGTON ST,OUT WITH SUBJ,OUT WITH SUBJ,PREVIOUS INCIDENT,Y,NA
22006819,2022-01-15,01:39:00,210 S Dubuque ST,GRADUATE HOTEL,210 S Dubuque ST,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,Y,NA
22006817,2022-01-15,01:31:00,731 S Riverside DR,Kum & Go,731 S Riverside DR,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22006816,2022-01-15,01:29:00,629 S Riverside DR,NA,629 S Riverside DR 215,Z Sick Person,Z Sick Person,COMPLETED,Y,NA
22006813,2022-01-15,01:14:00,615 S Governor St,NA,615 S Governor St 10,DIST/DOMESTIC,DIST/DOMESTIC,INCIDENT REPORT TAKEN,Y,NA
22006809,2022-01-15,01:04:00,S Madison St/Court St,NA,S Madison St/Court St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22006807,2022-01-15,01:03:00,1413 Plum St,NA,1413 Plum St,EXTRA PATROL REQUEST,EXTRA PATROL REQUEST,COMPLETED,Y,NA
22006801,2022-01-15,00:40:00,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,N,NA
22006800,2022-01-15,00:34:00,415 S Van Buren St,NA,415 S Van Buren St,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,COMPLETED,Y,NA
22006798,2022-01-15,00:18:00,415 S Van Buren St,NA,415 S Van Buren St 8,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,UNABLE TO LOCATE,Y,NA
22006796,2022-01-15,00:18:00,673 Scott Park Dr,NA,673 Scott Park Dr,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22006795,2022-01-15,00:17:00,820 S Riverside Dr,STAPLES,820 S Riverside Dr,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
22006794,2022-01-15,00:13:00,S Riverside Ct/S Riverside Dr,NA,S Riverside Ct/S Riverside Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22006674,2022-01-14,18:52:00,812 S 1st AVE,HY-VEE,812 S 1st AVE,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22006672,2022-01-14,18:36:00,516 S Van Buren St,NA,516 S Van Buren St,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,PREVIOUS INCIDENT,Y,NA
22006670,2022-01-14,18:32:00,1659 Clifford Ln,NA,1659 Clifford Ln,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,NA
22006666,2022-01-14,18:24:00,733 Michael St,NA,733 Michael St 16,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,COMPLETED,Y,NA
22006660,2022-01-14,18:13:00,2430 Muscatine Ave,EDEN APARTMENTS,2430 Muscatine Ave 16,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,UNABLE TO LOCATE,Y,NA
22006658,2022-01-14,18:11:00,Foster Rd/Algonquin Rd,NA,Foster Rd/Algonquin Rd,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,REF TO CITY DEPARTMENT,Y,NA
22006648,2022-01-14,17:49:00,Foster Rd/N Dubuque St,NA,Foster Rd/N Dubuque St,TR/ROAD HAZARD,TR/ROAD HAZARD,PREVIOUS INCIDENT,Y,NA
22006647,2022-01-14,17:47:00,415 S Van Buren St,NA,415 S Van Buren St 8,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22006646,2022-01-14,17:47:00,500 E Market ST,MERCY HOSPITAL,500 E Market ST,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22006644,2022-01-14,17:40:00,BENTON ST/GREENWOOD DR,NA,BENTON ST/GREENWOOD DR,TR/SCHOOL BUS VIOLATION,TR/SCHOOL BUS VIOLATION,UNDER INVESTIGATION,N,NA
22006637,2022-01-14,17:34:00,W Benton St/Greenwood Dr,NA,W Benton St/Greenwood Dr,TR/SCHOOL BUS VIOLATION,TR/SCHOOL BUS VIOLATION,UNDER INVESTIGATION,N,NA
22006631,2022-01-14,17:22:00,1907 Keokuk St,KWIK STAR,1907 Keokuk St,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNFOUNDED,Y,NA
22006629,2022-01-14,17:21:00,500 E Market ST,MERCY HOSPITAL,500 E Market ST,TRESPASS,TRESPASS,COMPLETED,Y,NA
22006628,2022-01-14,17:17:00,Foster Rd/N Dubuque St,NA,Foster Rd/N Dubuque St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,UNABLE TO LOCATE,Y,NA
22006623,2022-01-14,17:08:00,2121 Taylor Dr,NA,2121 Taylor Dr,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,N,NA
22006619,2022-01-14,17:05:00,530 S Clinton St,NA,530 S Clinton St,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
22006610,2022-01-14,16:58:00,80/246West,NA,80/246West,TR/ROAD HAZARD,TR/ROAD HAZARD,BROADCAST,Y,NA
22006600,2022-01-14,16:48:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
22006599,2022-01-14,16:46:00,E College St/S Johnson St,NA,E College St/S Johnson St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,N,NA
22006595,2022-01-14,16:41:00,Hwy 6 E/Sycamore St,NA,Hwy 6 E/Sycamore St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22006592,2022-01-14,16:36:00,E Burlington St/S Governor St,NA,E Burlington St/S Governor St,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,N,NA
22006586,2022-01-14,16:30:00,2300 Muscatine Ave,PAPA MURPHYS,2300 Muscatine Ave,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22006583,2022-01-14,16:24:00,2626 Bartelt RD,PHEASANT RIDGE APTS,2626 Bartelt RD,PHONE REQUEST,PHONE REQUEST,NO REPORT,N,NA
22006578,2022-01-14,16:17:00,Foster Rd/N Dubuque St,NA,Foster Rd/N Dubuque St,MVA/PERSONAL INJURY ACCIDENT,MVA/PERSONAL INJURY ACCIDENT,INCIDENT REPORT TAKEN,Y,NA
22006571,2022-01-14,16:03:00,201 S Clinton St,OLD CAPITOL TOWN CENTER,201 S Clinton St,TRESPASS,TRESPASS,CANCEL BY COMPL,N,NA
22006570,2022-01-14,16:04:00,504 S Van Buren St,NA,504 S Van Buren St,PHONE REQUEST,PHONE REQUEST,UNABLE TO CONTACT,Y,NA
22006568,2022-01-14,16:00:00,801 Melrose Ave,NA,801 Melrose Ave,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,N,NA
22006563,2022-01-14,15:53:00,N Dodge St/80,NA,N Dodge St/80,WELFARE CHECK,WELFARE CHECK,HANDLED BY OTHER AGENCY,Y,NA
22006560,2022-01-14,15:46:00,80/244West,NA,80/244West,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,HANDLED BY OTHER AGENCY,Y,NA
22006557,2022-01-14,15:42:00,1726 Dover St,NA,1726 Dover St,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,Y,NA
22006556,2022-01-14,15:42:00,Westwinds Dr/Roberts Rd,NA,Westwinds Dr/Roberts Rd,TR/SCHOOL BUS VIOLATION,TR/SCHOOL BUS VIOLATION,CHARGED/RELEASED,Y,NA
22006553,2022-01-14,15:33:00,417 S Clinton St,JOHNSON COUNTY COURTHOUSE,417 S Clinton St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
22006552,2022-01-14,15:30:00,621 E Iowa Ave,NA,621 E Iowa Ave,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,WARRANT ARREST OTHER AGENCY,Y,NA
22006547,2022-01-14,15:25:00,Hwy 6 W/Rocky Shore Dr,NA,Hwy 6 W/Rocky Shore Dr,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22006543,2022-01-14,15:19:00,410 E Washington St,NA,410 E Washington St,ADMIN/REPORT WRITING,ADMIN/REPORT WRITING,COMPLETED,Y,NA
22006541,2022-01-14,15:12:00,9 Wrexham Dr,NA,9 Wrexham Dr,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22006537,2022-01-14,15:06:00,127 Paddock Cir,NA,127 Paddock Cir,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,INCIDENT REPORT TAKEN,N,NA
22006533,2022-01-14,14:59:00,2626 Bartelt RD,PHEASANT RIDGE APTS,2626 Bartelt RD,JUV/GENERAL,JUV/GENERAL,NO REPORT,N,NA
22006532,2022-01-14,15:02:00,731 S Riverside DR,KUM & GO,731 S Riverside DR,Z Sick Person,Z Sick Person,COMPLETED,N,NA
22006529,2022-01-14,15:01:00,2340 Heinz Rd,NA,2340 Heinz Rd,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,NA
22006528,2022-01-14,14:55:00,1660 SYCAMORE ST,SYCAMORE MALL,1660 SYCAMORE ST,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNFOUNDED,Y,NA
22006515,2022-01-14,14:38:00,1936 Boyrum St,SKAY AUTOMOTIVE SERVICE,1936 Boyrum St,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
